customer_id,age,region,employment_type,industry,vintage,annual_income,bureau_score,dti,utilization,ltv,ead,lgd_actual,pd_score,default_flag,month
1,60,South,Salaried,Healthcare,2025Q4,100343.92,767.0,10.5,37.71,68.78,28745.0,0.2036,0.10798,0,2026_01
2,68,West,Salaried,Construction,2025Q3,91719.0,767.0,27.13,20.73,87.17,47074.0,0.3959,0.15782,0,2026_01
3,65,East,SelfEmployed,Manufacturing,2024Q4,54648.0,705.0,63.35,45.99,79.39,17457.0,0.2695,0.74234,0,2026_01
4,49,East,Salaried,Transport,2025Q1,85232.56,725.0,42.04,49.85,94.47,30566.0,0.3378,0.61661,0,2026_01
5,56,North,SelfEmployed,Retail,2025Q2,88873.0,705.0,47.95,48.05,44.33,195048.0,0.1625,0.43693,0,2026_01
6,22,North,Salaried,Retail,2025Q3,77952.0,707.0,65.34,77.75,47.16,198687.0,0.2685,0.8539,0,2026_01
7,61,North,SelfEmployed,Retail,2024Q4,102283.0,669.0,40.77,55.82,44.64,30610.0,0.3376,0.47109,1,2026_01
8,38,West,SelfEmployed,Transport,2025Q4,70982.0,725.0,60.3,84.96,69.62,57700.0,0.3973,0.90063,0,2026_01
9,69,East,Salaried,IT,2025Q4,73209.0,733.0,29.43,51.28,54.68,100793.0,0.44,0.29674,0,2026_01
10,28,East,Salaried,Transport,2025Q2,63341.0,764.0,68.63,25.22,77.6,77368.0,0.5409,0.54814,0,2026_01
11,35,North,Salaried,IT,2025Q2,68719.0,732.0,14.73,16.65,47.3,48867.0,0.3357,0.04508,0,2026_01
12,61,West,SelfEmployed,Retail,2025Q3,76250.0,758.0,53.49,83.15,45.68,24589.0,0.2936,0.77112,0,2026_01
13,37,West,Salaried,Healthcare,2025Q2,75347.0,669.0,49.63,10.06,65.31,135120.0,0.3919,0.24341,0,2026_01
14,43,North,Salaried,Healthcare,2024Q4,74224.0,788.0,21.5,15.58,60.67,51252.0,0.3866,0.06021,0,2026_01
15,22,North,Salaried,IT,2024Q4,103102.0,697.0,33.33,10.73,85.6,23114.0,0.2161,0.17553,0,2026_01
16,26,North,Salaried,Retail,2024Q4,117567.0,597.0,28.77,43.14,86.07,70853.0,0.204,0.48841,1,2026_01
17,49,South,Salaried,Transport,2025Q3,47234.69,689.0,15.67,52.94,46.46,57498.0,0.6251,0.19717,0,2026_01
18,47,South,Salaried,Healthcare,2025Q3,115232.19499999999,742.0,45.09,6.79,84.68,51224.0,0.3828,0.20201,0,2026_01
19,57,South,Salaried,IT,2025Q2,95409.06999999999,715.0,69.62,51.4,71.03,79905.0,0.4456,0.79405,0,2026_01
20,69,South,SelfEmployed,Transport,2025Q3,56807.905,603.0,43.58,40.44,67.7,63007.0,0.418,0.53014,0,2026_01
21,54,East,Salaried,Retail,2024Q4,71753.0,722.0,42.72,74.63,45.21,160317.0,0.407,0.62804,0,2026_01
22,38,North,Salaried,Construction,2025Q1,85358.0,717.0,12.42,79.7,80.68,38590.0,0.5022,0.52311,0,2026_01
23,62,South,Business,Retail,2024Q4,38045.625,657.0,18.35,66.65,43.28,42635.0,0.6184,0.33835,0,2026_01
24,30,South,SelfEmployed,Retail,2025Q1,75130.26430000001,741.0,40.79,47.61,55.27,125504.0,0.417,0.37317,0,2026_01
25,58,South,Business,Transport,2025Q2,91741.915,703.0,69.11,24.45,45.25,419463.0,0.3645,0.44546,0,2026_01
26,64,West,Salaried,Transport,2025Q4,61391.0,603.0,62.6,81.24,69.19,375946.0,0.4721,0.93329,0,2026_01
