customer_id,age,income,region,occupation,score,target,ead,shap_age,shap_income,shap_region,shap_occupation
100000,60,113475,East,Business,0.40347196194683765,0,455582,-0.05,-0.12,0.15,0.18
100001,54,82122,East,Business,0.34667024117200806,0,122403,-0.05,-0.1,0.02,0.03
100002,59,67517,North,Business,0.20303294306113195,1,109544,-0.05,-0.1,0.02,0.03
100003,45,116004,North,Salaried,0.4255613889089974,1,213301,-0.05,-0.1,0.02,0.03
100004,22,41972,West,SelfEmp,0.6591230741188439,1,312515,0.55,0.35,0.22,0.3
100005,40,49505,South,Salaried,0.6861740741118967,0,160720,0.3,0.25,0.18,0.08
100006,23,26981,West,SelfEmp,0.8634407510312134,0,265813,0.55,0.35,0.22,0.3
100007,24,47165,West,SelfEmp,0.7752236484841433,1,340333,0.55,0.35,0.22,0.3
100008,28,42982,West,SelfEmp,0.7385409471031523,0,389405,0.55,0.35,0.22,0.3
100009,47,70790,North,Business,0.496225949956678,0,198665,-0.05,-0.1,0.02,0.03
100010,61,141471,North,Salaried,0.3645888222419841,0,177690,-0.05,-0.1,0.02,0.03
100011,26,34546,West,SelfEmp,0.7605430859312183,0,495564,0.55,0.35,0.22,0.3
100012,34,33107,South,Salaried,0.7345630108942309,0,161409,0.3,0.25,0.18,0.08
100013,55,93548,East,Business,0.26265160476104843,0,211757,-0.05,-0.1,0.02,0.03
100014,39,133209,East,Business,0.402751900992272,0,59657,-0.05,-0.1,0.02,0.03
100015,59,86484,East,Business,0.12348917374973256,0,182282,-0.05,-0.1,0.02,0.03
100016,40,62699,South,Salaried,0.6399321550688241,0,213263,0.3,0.25,0.18,0.08
100017,23,34828,West,SelfEmp,0.6742899358642975,0,290428,0.55,0.35,0.22,0.3
100018,40,84055,East,Salaried,0.19144763857614355,0,221646,-0.05,-0.1,0.02,0.03
100019,28,39747,West,SelfEmp,0.6514407391517849,0,460245,0.55,0.35,0.22,0.3
100020,50,130728,East,Business,0.6146714830607405,0,359070,-0.05,-0.12,0.15,0.18
100021,60,97193,North,Salaried,0.378084667938943,0,175890,-0.05,-0.1,0.02,0.03
100022,52,138469,East,Business,0.5564793878758802,1,579062,-0.05,-0.12,0.15,0.18
100023,58,90755,East,Salaried,0.3060387730411836,0,243982,-0.05,-0.1,0.02,0.03
100024,26,46585,West,SelfEmp,0.6507335144506692,0,375274,0.55,0.35,0.22,0.3
100025,63,77855,North,Salaried,0.2146045143598812,0,204902,-0.05,-0.1,0.02,0.03
100026,28,32313,West,SelfEmp,0.6930235308308452,0,368352,0.55,0.35,0.22,0.3
100027,24,36486,West,SelfEmp,0.6855872426637925,0,366881,0.55,0.35,0.22,0.3
100028,24,44390,West,SelfEmp,0.703712127380067,1,482546,0.55,0.35,0.22,0.3
100029,50,131094,East,Business,0.19588021213387,0,202385,-0.05,-0.1,0.02,0.03
100030,28,27649,West,SelfEmp,0.7563082418746652,0,285210,0.55,0.35,0.22,0.3
100031,47,95974,North,Salaried,0.1059635155532074,0,84539,-0.05,-0.1,0.02,0.03
100032,30,75094,East,Business,0.3406817138622279,0,223994,-0.05,-0.1,0.02,0.03
100033,31,51800,North,Salaried,0.2432652487404827,0,101031,-0.05,-0.1,0.02,0.03
100034,28,29705,West,SelfEmp,0.6876838708701958,0,493361,0.55,0.35,0.22,0.3
100035,26,27489,West,SelfEmp,0.8228357873723108,0,318426,0.55,0.35,0.22,0.3
100036,32,38947,South,Salaried,0.7546605471346083,1,226881,0.3,0.25,0.18,0.08
100037,37,65073,East,Salaried,0.18584327669268066,0,142079,-0.05,-0.1,0.02,0.03
100038,21,39413,West,SelfEmp,0.8648743127413699,0,490674,0.55,0.35,0.22,0.3
100039,25,43691,West,SelfEmp,0.7688565107430464,0,457381,0.55,0.35,0.22,0.3
100040,40,52381,South,Salaried,0.6348146469336153,0,234121,0.3,0.25,0.18,0.08
100041,66,142981,North,Salaried,0.28621259255996745,0,236429,-0.05,-0.1,0.02,0.03
100042,41,61651,South,Salaried,0.5557648271144027,0,133755,0.3,0.25,0.18,0.08
100043,38,94666,East,Business,0.4816199039711673,0,138802,-0.05,-0.1,0.02,0.03
100044,58,92494,North,Salaried,0.29686705945979563,0,243269,-0.05,-0.1,0.02,0.03
100045,46,121550,North,Salaried,0.1844496776862981,0,104490,-0.05,-0.1,0.02,0.03
100046,67,105546,North,Salaried,0.29098618825085,0,165159,-0.05,-0.1,0.02,0.03
100047,30,51829,South,Salaried,0.7918165165907771,0,156984,0.3,0.25,0.18,0.08
100048,31,48683,South,Salaried,0.673637547524296,0,131693,0.3,0.25,0.18,0.08
100049,44,138564,East,Salaried,0.2975154738182044,0,80549,-0.05,-0.1,0.02,0.03
100050,64,118646,North,Salaried,0.33922201101585825,0,147347,-0.05,-0.1,0.02,0.03
100051,65,90258,East,Business,0.6305943506949951,0,658780,-0.05,-0.12,0.15,0.18
100052,57,108031,North,Business,0.47638450533595544,0,245792,-0.05,-0.1,0.02,0.03
100053,26,45222,West,SelfEmp,0.6534147595951819,1,454098,0.55,0.35,0.22,0.3
100054,60,120822,East,Salaried,0.479097597784789,1,184624,-0.05,-0.1,0.02,0.03
100055,36,98829,North,Salaried,0.49710050930078054,0,89379,-0.05,-0.1,0.02,0.03
100056,31,56532,South,Salaried,0.744582223658788,0,228532,0.3,0.25,0.18,0.08
100057,33,51829,South,Salaried,0.7916196682261307,0,263735,0.3,0.25,0.18,0.08
100058,35,47640,South,Salaried,0.637166852552937,0,237472,0.3,0.25,0.18,0.08
100059,39,32301,South,Salaried,0.6151053921336592,0,234717,0.3,0.25,0.18,0.08
100060,54,146685,North,Salaried,0.38700358096639187,0,242562,-0.05,-0.1,0.02,0.03
100061,37,36645,South,Salaried,0.6775840113604216,0,273315,0.3,0.25,0.18,0.08
100062,31,54887,South,Salaried,0.6174296010239774,0,253703,0.3,0.25,0.18,0.08
100063,34,111196,North,Salaried,0.12925209589818432,0,55116,-0.05,-0.1,0.02,0.03
100064,43,51636,North,Salaried,0.24370189988813906,0,133018,-0.05,-0.1,0.02,0.03
100065,45,50207,North,Business,0.35558200635093185,0,59476,-0.05,-0.1,0.02,0.03
100066,44,45526,South,Salaried,0.6218713407856289,0,131905,0.3,0.25,0.18,0.08
100067,39,35673,South,Salaried,0.7624907195729609,0,202863,0.3,0.25,0.18,0.08
100068,57,129056,East,Business,0.2894946080115526,0,207958,-0.05,-0.1,0.02,0.03
100069,24,28838,West,SelfEmp,0.6664784116759802,1,448597,0.55,0.35,0.22,0.3
100070,26,34419,West,SelfEmp,0.6862991575575106,0,312457,0.55,0.35,0.22,0.3
100071,30,56457,South,Salaried,0.6803494219756696,1,203050,0.3,0.25,0.18,0.08
100072,68,51381,East,Salaried,0.20715825076367064,0,175370,-0.05,-0.1,0.02,0.03
100073,37,44616,South,Salaried,0.6063480081559199,0,145386,0.3,0.25,0.18,0.08
100074,67,144542,East,Business,0.13080139700248639,0,68780,-0.05,-0.1,0.02,0.03
100075,38,128377,North,Salaried,0.379179199464985,0,178446,-0.05,-0.1,0.02,0.03
100076,40,54714,South,Salaried,0.6750903081934436,0,163201,0.3,0.25,0.18,0.08
100077,67,133257,East,Salaried,0.3492731845601172,0,148376,-0.05,-0.1,0.02,0.03
100078,68,149150,East,Business,0.6700446605631956,0,449533,-0.05,-0.12,0.15,0.18
100079,69,102464,East,Business,0.5789360143486035,1,484396,-0.05,-0.12,0.15,0.18
100080,57,72157,East,Salaried,0.24486533751656153,0,211960,-0.05,-0.1,0.02,0.03
100081,30,123197,North,Business,0.4214055770199596,0,69553,-0.05,-0.1,0.02,0.03
100082,27,36927,West,SelfEmp,0.8070528416751255,0,460216,0.55,0.35,0.22,0.3
100083,26,42427,West,SelfEmp,0.7804701817546269,0,446999,0.55,0.35,0.22,0.3
100084,50,140437,East,Business,0.6448811192294469,0,408930,-0.05,-0.12,0.15,0.18
100085,62,113722,North,Business,0.11910047284737196,0,84311,-0.05,-0.1,0.02,0.03
100086,34,51554,South,Salaried,0.7572480859631137,0,218248,0.3,0.25,0.18,0.08
100087,42,51716,North,Salaried,0.4136787114753525,0,226205,-0.05,-0.1,0.02,0.03
100088,35,147304,North,Business,0.3659701002585637,0,176045,-0.05,-0.1,0.02,0.03
100089,45,124630,North,Business,0.36223359517471043,0,227025,-0.05,-0.1,0.02,0.03
100090,50,61264,East,Business,0.40434962083090975,0,93024,-0.05,-0.1,0.02,0.03
100091,47,93831,North,Salaried,0.2832689853060495,0,166104,-0.05,-0.1,0.02,0.03
100092,30,102808,East,Business,0.22108586600950828,0,92925,-0.05,-0.1,0.02,0.03
100093,55,112055,North,Salaried,0.484342270310114,0,192454,-0.05,-0.1,0.02,0.03
100094,39,38371,South,Salaried,0.7600415738733501,1,238690,0.3,0.25,0.18,0.08
100095,69,99374,North,Business,0.1729829946605964,0,84546,-0.05,-0.1,0.02,0.03
100096,27,37505,West,SelfEmp,0.738382201721951,0,424859,0.55,0.35,0.22,0.3
100097,31,38043,South,Salaried,0.729575045104952,1,171392,0.3,0.25,0.18,0.08
100098,54,100390,North,Salaried,0.23863290151694186,0,54201,-0.05,-0.1,0.02,0.03
100099,42,143716,North,Salaried,0.4756230635161325,0,63831,-0.05,-0.1,0.02,0.03
100100,49,126962,North,Salaried,0.4640805134248138,0,97786,-0.05,-0.1,0.02,0.03
100101,56,125459,East,Salaried,0.12972636553436706,0,218889,-0.05,-0.1,0.02,0.03
100102,68,79989,East,Business,0.16577500214302648,0,203704,-0.05,-0.1,0.02,0.03
100103,23,25977,West,SelfEmp,0.7154118130159022,0,464289,0.55,0.35,0.22,0.3
100104,54,80083,North,Salaried,0.23070095575134988,0,59429,-0.05,-0.1,0.02,0.03
100105,26,40068,West,SelfEmp,0.6767781533614483,0,345742,0.55,0.35,0.22,0.3
100106,27,34638,West,SelfEmp,0.808041291209981,0,374567,0.55,0.35,0.22,0.3
100107,30,49641,South,Salaried,0.7702051673240876,1,226998,0.3,0.25,0.18,0.08
100108,30,111601,North,Salaried,0.30035005002174486,0,241905,-0.05,-0.1,0.02,0.03
100109,62,104078,East,Business,0.5021985074613862,1,431477,-0.05,-0.12,0.15,0.18
100110,28,36859,West,SelfEmp,0.7985041307312315,0,277013,0.55,0.35,0.22,0.3
100111,24,44824,West,SelfEmp,0.7740120379290254,0,257731,0.55,0.35,0.22,0.3
100112,69,144250,East,Business,0.43089346912165705,0,97341,-0.05,-0.1,0.02,0.03
100113,44,34038,South,Salaried,0.6871247492375426,1,273318,0.3,0.25,0.18,0.08
100114,64,72500,North,Salaried,0.2836790327120088,0,55647,-0.05,-0.1,0.02,0.03
100115,28,49402,West,SelfEmp,0.8728179597095237,0,450174,0.55,0.35,0.22,0.3
100116,23,28285,West,SelfEmp,0.8430892308004576,0,493412,0.55,0.35,0.22,0.3
100117,25,40100,West,SelfEmp,0.8136468892181793,0,441190,0.55,0.35,0.22,0.3
100118,42,45295,South,Salaried,0.7712775722770288,0,173990,0.3,0.25,0.18,0.08
100119,67,137968,North,Business,0.4306269537794253,1,192140,-0.05,-0.1,0.02,0.03
100120,21,25196,West,SelfEmp,0.883817210273858,0,487362,0.55,0.35,0.22,0.3
100121,43,41722,South,Salaried,0.6207358770250526,0,242850,0.3,0.25,0.18,0.08
100122,28,33538,West,SelfEmp,0.6959661029820543,0,270999,0.55,0.35,0.22,0.3
100123,23,33775,West,SelfEmp,0.815816468427665,0,403860,0.55,0.35,0.22,0.3
100124,30,59717,South,Salaried,0.5753270917057286,0,179115,0.3,0.25,0.18,0.08
100125,59,74324,East,Salaried,0.26184553321137627,1,233214,-0.05,-0.1,0.02,0.03
100126,36,97984,North,Salaried,0.395562364589628,0,231044,-0.05,-0.1,0.02,0.03
100127,53,92560,East,Business,0.5843567958340087,1,358996,-0.05,-0.12,0.15,0.18
100128,34,132805,North,Salaried,0.2077265980423092,1,142238,-0.05,-0.1,0.02,0.03
100129,42,104654,North,Salaried,0.1409815384724511,0,156124,-0.05,-0.1,0.02,0.03
100130,24,35284,West,SelfEmp,0.8563911223363454,0,388554,0.55,0.35,0.22,0.3
100131,54,139210,North,Salaried,0.37411126181455734,0,114273,-0.05,-0.1,0.02,0.03
100132,36,59897,South,Salaried,0.5564667704313551,0,183832,0.3,0.25,0.18,0.08
100133,36,107119,North,Salaried,0.3712318040763726,0,195322,-0.05,-0.1,0.02,0.03
100134,44,53138,South,Salaried,0.5937776923234644,0,171594,0.3,0.25,0.18,0.08
100135,22,39392,West,SelfEmp,0.7333611003518201,0,424262,0.55,0.35,0.22,0.3
100136,24,32152,West,SelfEmp,0.6707510493696487,0,451386,0.55,0.35,0.22,0.3
100137,54,107762,East,Business,0.5237957615325555,1,518444,-0.05,-0.12,0.15,0.18
100138,30,129294,North,Salaried,0.28461714677036387,1,64156,-0.05,-0.1,0.02,0.03
100139,52,100105,East,Salaried,0.4540735477266976,0,186814,-0.05,-0.1,0.02,0.03
100140,26,34250,West,SelfEmp,0.8499442242887508,0,445130,0.55,0.35,0.22,0.3
100141,27,34074,West,SelfEmp,0.7962816114401587,0,288661,0.55,0.35,0.22,0.3
100142,58,117689,East,Business,0.32448153288354453,0,208326,-0.05,-0.1,0.02,0.03
100143,38,42206,South,Salaried,0.5550227156360741,1,126358,0.3,0.25,0.18,0.08
100144,65,84459,North,Business,0.2982636985255479,1,218594,-0.05,-0.1,0.02,0.03
100145,39,79689,North,Salaried,0.38596020616404225,1,144846,-0.05,-0.1,0.02,0.03
100146,53,96903,North,Business,0.1636616984320708,0,143497,-0.05,-0.1,0.02,0.03
100147,25,28827,West,SelfEmp,0.8385258119876892,0,344377,0.55,0.35,0.22,0.3
100148,33,59018,East,Business,0.1401321710468779,0,92020,-0.05,-0.1,0.02,0.03
100149,40,109449,North,Business,0.247599045025376,0,213783,-0.05,-0.1,0.02,0.03
100150,21,32001,West,SelfEmp,0.7372381028628385,0,266771,0.55,0.35,0.22,0.3
100151,60,120429,East,Business,0.6448696512218364,1,498379,-0.05,-0.12,0.15,0.18
100152,62,57676,East,Salaried,0.48085847808407645,1,116196,-0.05,-0.1,0.02,0.03
100153,39,41474,South,Salaried,0.6181533903798324,1,253271,0.3,0.25,0.18,0.08
100154,25,35229,West,SelfEmp,0.6960459197885653,0,268372,0.55,0.35,0.22,0.3
100155,38,63633,South,Salaried,0.6250899554308252,1,168921,0.3,0.25,0.18,0.08
100156,61,106197,East,Business,0.5729176750599415,0,500287,-0.05,-0.12,0.15,0.18
100157,29,37927,West,SelfEmp,0.8484900864769805,0,325469,0.55,0.35,0.22,0.3
100158,67,109775,East,Business,0.6481272556084595,1,692818,-0.05,-0.12,0.15,0.18
100159,33,124931,East,Salaried,0.4847114754577827,0,214584,-0.05,-0.1,0.02,0.03
100160,22,25498,West,SelfEmp,0.8853350878082928,0,326548,0.55,0.35,0.22,0.3
100161,33,33602,South,Salaried,0.7184583735064576,0,279470,0.3,0.25,0.18,0.08
100162,53,108114,East,Business,0.6390678894117999,0,558106,-0.05,-0.12,0.15,0.18
100163,27,28718,West,SelfEmp,0.7613346182923921,0,442774,0.55,0.35,0.22,0.3
100164,33,124081,East,Salaried,0.17672191665383524,0,235072,-0.05,-0.1,0.02,0.03
100165,56,80596,North,Business,0.3318073979555699,0,237959,-0.05,-0.1,0.02,0.03
100166,39,65775,North,Business,0.4480195064326775,0,116448,-0.05,-0.1,0.02,0.03
100167,24,49134,West,SelfEmp,0.8074372906702658,0,435585,0.55,0.35,0.22,0.3
100168,43,41391,South,Salaried,0.7132741951182288,0,131655,0.3,0.25,0.18,0.08
100169,24,43778,West,SelfEmp,0.6556520711122907,0,367608,0.55,0.35,0.22,0.3
100170,24,30940,West,SelfEmp,0.8624848276889366,0,493984,0.55,0.35,0.22,0.3
100171,37,109319,East,Salaried,0.30286423637032844,0,91108,-0.05,-0.1,0.02,0.03
100172,25,47419,West,SelfEmp,0.6549234805447052,0,293889,0.55,0.35,0.22,0.3
100173,56,103382,East,Business,0.5817111223034797,1,413417,-0.05,-0.12,0.15,0.18
