Dev_Count,Mon_Count,Dev_Pct,Mon_Pct,x_dev,x_mon,PSI,Dev_BR,Mon_BR,Delta_BR,br_pvalue,Dev_AUC,Mon_AUC,Delta_AUC,Dev_Gini,Mon_Gini,Delta_Gini,Dev_KS,Mon_KS,Delta_KS,score_shift_pvalue,Dev_EAD,Mon_EAD,Dev_Exposure_Pct,Mon_Exposure_Pct,Exposure_Drift,mean_feature_psi,mean_shap_shift,Calibration_Drift,Root_Cause_Feature,Root_Cause_PSI,Root_Cause_Score,feature_drift_details,Top_SHAP_Feature,Top_SHAP_PSI,Segment_Definition,BadRate_pvalue_adj,ScoreShift_pvalue_adj,Statistically_Significant,Business_Impact_Score,SIS_Raw,DIS_Raw,Confidence_Score,PSI_Interpretation,Severity_Score,Portfolio_Impact_Score,Drift_Explanation,Rank,Technique
73538,91437,0.073538,0.091437,30693,28238,0.003899260119293292,0.41737605047730425,0.30882465522709623,-0.10855139525020802,0.0,0.6765895703594803,0.5551591067824808,-0.12143046357699949,0.3531791407189606,0.11031821356496163,-0.24286092715399898,0.34859214661261073,0.1156260002271573,-0.23296614638545343,0.0,10520904874.0,17667731744.0,0.06711903344554035,0.06872751671615965,0.0016084832706192986,0.05985638676312522,0.07988183723190444,-0.23831706055472285,region,0.13384921424877477,0.656362,"[{""feature"": ""region"", ""psi"": 0.13384921424877477}, {""feature"": ""occupation"", ""psi"": 0.06113345886646132}, {""feature"": ""income"", ""psi"": 0.03497114164070755}, {""feature"": ""age"", ""psi"": 0.009471732296557244}]",shap_age,39.42772436214112,"36 <= age < 46 AND income < 60,810",0.0,0.0,True,0.0078,0.000763,0.000158,1.0,Population Share: Stable,13.1272,0.022206,"Gini drop 0.2429 (Dev 0.3532 -> Mon 0.1103) | KS drop 0.2330 (Dev 0.3486 -> Mon 0.1156) | Significant bad-rate shift (Dev 41.74% -> Mon 30.88%, p_adj=0.0000) | Population share stable (low PSI) but the score no longer separates risk inside this segment -- concept drift, not exposure drift",1,AutoSlicer
252655,206350,0.252655,0.20635,54496,45443,0.009374501221586075,0.2156933367635709,0.22022292221952994,0.004529585455959051,0.0002164914350422098,0.7234825760422992,0.647650484653369,-0.0758320913889301,0.4469651520845983,0.2953009693067381,-0.1516641827778602,0.44687602481991767,0.29570483608809656,-0.15117118873182112,0.0,37303664562.0,35462298493.0,0.23798199293348124,0.13794842189059106,-0.10003357104289018,0.08871375239840015,0.06055452549173715,-0.07947964586663181,region,0.18091803957795147,0.621039,"[{""feature"": ""region"", ""psi"": 0.18091803957795147}, {""feature"": ""income"", ""psi"": 0.12398090964352428}, {""feature"": ""occupation"", ""psi"": 0.044067820422028496}, {""feature"": ""age"", ""psi"": 0.005888239950096335}]",shap_age,16.946407192281924,36 <= age < 46,0.0002164914350422098,0.0,True,0.033,0.002159,0.0,1.0,Population Share: Stable,12.4208,0.031296,"Gini drop 0.1517 (Dev 0.4470 -> Mon 0.2953) | KS drop 0.1512 (Dev 0.4469 -> Mon 0.2957) | Population share stable (low PSI) but the score no longer separates risk inside this segment -- concept drift, not exposure drift",2,AutoSlicer
79400,274000,0.0794,0.274,57215,42590,0.2410373470410672,0.7205919395465995,0.15543795620437956,-0.5651539833422199,0.0,0.5001672709592465,0.4989768927726356,-0.0011903781866108853,0.0003345419184930254,-0.0020462144547287453,-0.0023807563732217707,0.006148801821045546,0.004303343918387381,-0.0018454579026581652,0.5386828997054317,14692709422.0,102764829928.0,0.09373342568070289,0.3997554224304122,0.3060219967497093,8.461987448387607e-05,0.1175,-0.7290654978041706,income,0.00026842850786024434,0.346628,"[{""feature"": ""income"", ""psi"": 0.00026842850786024434}, {""feature"": ""age"", ""psi"": 4.2617604049611554e-05}, {""feature"": ""region"", ""psi"": 2.743338602564837e-05}, {""feature"": ""occupation"", ""psi"": 0.0}]",shap_age,51.4341581464781,occupation = SelfEmp,0.0,0.6105072863328226,True,0.1362,0.00013,9.3e-05,1.0,Population Share: Moderate Drift,6.9326,0.000652,"Population shift (Dev 7.9% -> Mon 27.4%, PSI 0.2410) | Significant bad-rate shift (Dev 72.06% -> Mon 15.54%, p_adj=0.0000)",3,AutoSlicer
40556,28635,0.040556,0.028635,6753,5252,0.004149151605783837,0.16651050399447678,0.18341190850357952,0.01690140450910274,7.370255294958383e-09,0.6541629024564981,0.6379234069028804,-0.0162394955536177,0.3083258049129962,0.2758468138057608,-0.0324789911072354,0.3088887394470638,0.26269318076590686,-0.046195558681156934,5.895948448173571e-273,6027059705.0,4658105754.0,0.0384501548833378,0.01812004199024556,-0.02033011289309224,0.05380512706828445,0.03854545584922054,-0.02130359130298981,region,0.12995744305688522,0.168001,"[{""feature"": ""region"", ""psi"": 0.12995744305688522}, {""feature"": ""income"", ""psi"": 0.06672581509680608}, {""feature"": ""occupation"", ""psi"": 0.018440440100910834}, {""feature"": ""age"", ""psi"": 9.68100185356495e-05}]",shap_age,0.1287793484596019,"age < 36 AND 60,810 <= income < 91,458.5",8.640988966502932e-09,1.0550644591468496e-272,True,0.0005,8e-06,0.0,1.0,Population Share: Stable,3.36,0.00093,Segment performance stable,4,AutoSlicer
66303,46681,0.066303,0.046681,10546,8277,0.006885318895925228,0.15905765953275117,0.17730982626764635,0.018252166734895187,4.440892098500626e-16,0.6473057050908109,0.6263358436558897,-0.02096986143492119,0.29461141018162174,0.25267168731177936,-0.04193972286984238,0.2971326693853375,0.24927297301762832,-0.047859696367709176,0.0,9857985257.0,7547981041.0,0.0628898797293913,0.029361663437342686,-0.03352821629204861,0.04706314818202906,0.035688798927896115,-0.009675328767492886,region,0.11892906096616887,0.152911,"[{""feature"": ""region"", ""psi"": 0.11892906096616887}, {""feature"": ""income"", ""psi"": 0.05090672631384064}, {""feature"": ""occupation"", ""psi"": 0.015927914434458984}, {""feature"": ""age"", ""psi"": 0.0024888910136477297}]",shap_age,0.11816332159989905,"36 <= age < 46 AND 60,810 <= income < 91,458.5",6.564797015174838e-16,0.0,True,0.0014,2.9e-05,0.0,1.0,Population Share: Stable,3.0582,0.001958,Segment performance stable,5,AutoSlicer
129177,88629,0.129177,0.088629,20081,15218,0.015275422556632534,0.15545337018199834,0.17170452109354725,0.01625115091154891,0.0,0.6291849716501801,0.6178824666534353,-0.011302504996744789,0.2583699433003601,0.23576493330687054,-0.022605009993489578,0.262581511695847,0.2355531953467958,-0.027028316349051174,0.0,19238436380.0,14190172236.0,0.12273328865658559,0.055199802311129906,-0.06753348634545568,0.04188973330394057,0.03165554957207864,-0.00848052343921879,region,0.10694793847727779,0.140759,"[{""feature"": ""region"", ""psi"": 0.10694793847727779}, {""feature"": ""income"", ""psi"": 0.04237196139748754}, {""feature"": ""age"", ""psi"": 0.018239033340996937}, {""feature"": ""occupation"", ""psi"": 0.0}]",shap_region,6.9938734555638735,"60,810 <= income < 91,458.5 AND occupation = Salaried",0.0,0.0,True,0.0051,5.5e-05,0.0,1.0,Population Share: Stable,2.8152,0.002003,Segment performance stable,6,AutoSlicer
146461,136177,0.146461,0.136177,22132,28756,0.0007487129553086082,0.15111190009627137,0.21116634967725828,0.06005444958098691,0.0,0.5960465306047701,0.6155937145625004,0.019547183957730363,0.19209306120954017,0.2311874291250009,0.039094367915460726,0.1544285575320753,0.18945810379597627,0.03502954626390098,0.0,24948305185.0,43254719476.0,0.15915989643245612,0.16826095725893914,0.009101060826483015,0.037161557499546014,0.038696779522863906,0.07174406498275121,region,0.09151498251055988,0.130447,"[{""feature"": ""region"", ""psi"": 0.09151498251055988}, {""feature"": ""income"", ""psi"": 0.05707469974608338}, {""feature"": ""age"", ""psi"": 5.654774154078089e-05}, {""feature"": ""occupation"", ""psi"": 0.0}]",shap_occupation,16.93756796115972,age >= 58 AND occupation = Business,0.0,0.0,True,0.0229,0.0,0.0,1.0,Population Share: Stable,2.6089,0.005324,"Significant bad-rate shift (Dev 15.11% -> Mon 21.12%, p_adj=0.0000)",7,AutoSlicer
81873,73164,0.081873,0.073164,12047,14933,0.0009794643862486045,0.14714252561894642,0.20410311081952873,0.05696058520058231,0.0,0.586047306942775,0.6173603305574721,0.03131302361469712,0.17209461388554992,0.23472066111494416,0.06262604722939424,0.13911368573983657,0.19154215832947263,0.052428472589636066,0.0,13724207674.0,22162193511.0,0.08755478401493506,0.086210983224334,-0.001343800790601063,0.038766058729579174,0.03504054657224721,0.06956332078811378,occupation,0.07737219091480632,0.129287,"[{""feature"": ""occupation"", ""psi"": 0.07737219091480632}, {""feature"": ""region"", ""psi"": 0.07711335437116802}, {""feature"": ""age"", ""psi"": 0.0003406967655372195}, {""feature"": ""income"", ""psi"": 0.00023799286680512835}]",shap_occupation,14.83348752721799,"age >= 58 AND 91,458.5 <= income < 120,806",0.0,0.0,True,0.0063,0.0,0.0,1.0,Population Share: Stable,2.5857,0.004582,"Significant bad-rate shift (Dev 14.71% -> Mon 20.41%, p_adj=0.0000) | Population share stable (low PSI) but the score no longer separates risk inside this segment -- concept drift, not exposure drift",8,AutoSlicer
82336,72502,0.082336,0.072502,12144,14650,0.001250828632246565,0.14749319860085502,0.20206339135472126,0.05457019275386624,0.0,0.5883975649286295,0.6183476914966495,0.029950126568019986,0.17679512985725898,0.23669538299329895,0.05990025313603997,0.14200765121407632,0.19384589699171173,0.051838245777635406,0.0,13789432382.0,21952008820.0,0.08797089074816353,0.08539336429772283,-0.0025775264504406953,0.03777408496680492,0.034918598203927495,0.06571300816981196,region,0.07716493600301669,0.126963,"[{""feature"": ""region"", ""psi"": 0.07716493600301669}, {""feature"": ""occupation"", ""psi"": 0.07319753860776998}, {""feature"": ""income"", ""psi"": 0.0004635455112828332}, {""feature"": ""age"", ""psi"": 0.00027031974515017516}]",shap_occupation,14.789256216776911,"age >= 58 AND income >= 120,806",0.0,0.0,True,0.0062,0.0,0.0,1.0,Population Share: Stable,2.5393,0.004343,"Significant bad-rate shift (Dev 14.75% -> Mon 20.21%, p_adj=0.0000) | Population share stable (low PSI) but the score no longer separates risk inside this segment -- concept drift, not exposure drift",9,AutoSlicer
138011,122929,0.138011,0.122929,20037,24896,0.001745386155865023,0.14518407952989254,0.2025234078207746,0.05733932829088206,0.0,0.5868006412017606,0.6185713955916475,0.03177075438988697,0.17360128240352113,0.23714279118329507,0.06354150877977394,0.13929681459940096,0.19359119925240542,0.05429438465300446,0.0,23143401866.0,37040021546.0,0.1476453577416534,0.14408576815946636,-0.0035595895821870505,0.036584838711328525,0.03465687342512628,0.07312015162757268,region,0.07831702407841179,0.124029,"[{""feature"": ""region"", ""psi"": 0.07831702407841179}, {""feature"": ""age"", ""psi"": 0.06795423057344749}, {""feature"": ""income"", ""psi"": 6.810019345483424e-05}, {""feature"": ""occupation"", ""psi"": 0.0}]",shap_occupation,14.981469562331196,"91,458.5 <= income < 120,806 AND occupation = Business",0.0,0.0,True,0.0177,0.0,0.0,1.0,Population Share: Stable,2.4806,0.007811,"Significant bad-rate shift (Dev 14.52% -> Mon 20.25%, p_adj=0.0000) | Population share stable (low PSI) but the score no longer separates risk inside this segment -- concept drift, not exposure drift",10,AutoSlicer
