Dev_Count,Mon_Count,Dev_Pct,Mon_Pct,x_dev,x_mon,PSI,Dev_BR,Mon_BR,Delta_BR,br_pvalue,Dev_AUC,Mon_AUC,Delta_AUC,Dev_Gini,Mon_Gini,Delta_Gini,Dev_KS,Mon_KS,Delta_KS,score_shift_pvalue,Dev_EAD,Mon_EAD,Dev_Exposure_Pct,Mon_Exposure_Pct,Exposure_Drift,mean_feature_psi,mean_shap_shift,Calibration_Drift,Root_Cause_Feature,Root_Cause_PSI,Root_Cause_Score,feature_drift_details,Top_SHAP_Feature,Top_SHAP_PSI,Segment_Definition,BadRate_pvalue_adj,ScoreShift_pvalue_adj,Statistically_Significant,Business_Impact_Score,SIS_Raw,DIS_Raw,DIS_Symmetric,Confidence_Score,PSI_Interpretation,Severity_Score,Portfolio_Impact_Score,Drift_Explanation,Rank,Technique
397,1370,0.0794,0.274,286,212,0.2410373470410672,0.7204030226700252,0.15474452554744525,-0.56565849712258,0.0,0.49757449757449757,0.4879305569133509,-0.009643940661146655,-0.00485100485100487,-0.02413888617329818,-0.01928788132229331,0.04526554526554527,0.07277511649884316,0.02750957123329789,0.13861969757998588,73664679.0,517872657.0,0.09358021469583616,0.40166309478007917,0.308082880084243,0.016434110181150537,0.11749999999999998,-0.7351021803054077,age,0.04657770070614394,0.66676,"[{""feature"": ""age"", ""psi"": 0.04657770070614394}, {""feature"": ""income"", ""psi"": 0.01915874001845821}, {""feature"": ""region"", ""psi"": 0.0}, {""feature"": ""occupation"", ""psi"": 0.0}]",shap_age,40.83752335345781,region = West,0.0,0.21783095333997782,True,0.1387,0.001061,0.000766,0.000766,1.0,Population Share: Moderate Drift,13.3352,0.005285,"Population shift (Dev 7.9% -> Mon 27.4%, PSI 0.2410) | Significant bad-rate shift (Dev 72.04% -> Mon 15.47%, p_adj=0.0000)",1,AutoSlicer
773,768,0.1546,0.1536,228,186,6.489315439749776e-06,0.2949547218628719,0.2421875,-0.052767221862871916,0.019462959378730105,0.7344519555770159,0.6277574548276245,-0.10669450074939146,0.46890391115403185,0.2555149096552489,-0.21338900149878293,0.5144213745372606,0.27552377785167936,-0.2388975966855812,8.13369414716271e-18,113710759.0,139789282.0,0.14445290992778892,0.10842085378762373,-0.03603205614016519,0.10683983692585619,0.07649371951137342,-0.2009959587516058,region,0.2119385079643885,0.626051,"[{""feature"": ""region"", ""psi"": 0.2119385079643885}, {""feature"": ""income"", ""psi"": 0.16769340702450178}, {""feature"": ""age"", ""psi"": 0.04772743271453453}, {""feature"": ""occupation"", ""psi"": 0.0}]",shap_age,19.79393502483088,36 <= age < 46 AND occupation = Salaried,0.03254157265613656,1.7894127123757963e-16,True,0.0202,0.001777,0.0,1.3e-05,1.0,Population Share: Stable,12.521,0.032777,"Gini drop 0.2134 (Dev 0.4689 -> Mon 0.2555) | KS drop 0.2389 (Dev 0.5144 -> Mon 0.2755) | Significant bad-rate shift (Dev 29.50% -> Mon 24.22%, p_adj=0.0325) | Population share stable (low PSI) but the score no longer separates risk inside this segment -- concept drift, not exposure drift",2,AutoSlicer
690,621,0.138,0.1242,99,125,0.0014539751160780052,0.14347826086956522,0.20128824476650564,0.05780998389694042,0.005490649614994014,0.6100770821583004,0.5649677419354838,-0.04510934022281654,0.22015416431660073,0.12993548387096765,-0.09021868044563308,0.17756242629339075,0.17764516129032254,8.27349969317881e-05,1.0319956730612782e-13,116561355.0,184582186.0,0.14807417576797663,0.14316232198764686,-0.004911853780329767,0.052755634010863375,0.0343558776167472,0.07088051539829643,region,0.11638353388358506,0.278127,"[{""feature"": ""region"", ""psi"": 0.11638353388358506}, {""feature"": ""age"", ""psi"": 0.06020540284611952}, {""feature"": ""income"", ""psi"": 0.03443359931374892}, {""feature"": ""occupation"", ""psi"": 0.0}]",shap_income,11.624945964804079,"income >= 120,301.75 AND occupation = Business",0.01207942915298683,6.486829944956606e-13,True,0.0194,0.000802,0.0,9.4e-05,1.0,Population Share: Stable,5.5625,0.011205,"Gini drop 0.0902 (Dev 0.2202 -> Mon 0.1299) | Significant bad-rate shift (Dev 14.35% -> Mon 20.13%, p_adj=0.0121) | Population share stable (low PSI) but the score no longer separates risk inside this segment -- concept drift, not exposure drift",3,AutoSlicer
348,254,0.0696,0.0508,56,37,0.005919522399811627,0.16091954022988506,0.14566929133858267,-0.015250248891302387,0.609136472092787,0.6276296477495108,0.6713164777680908,0.04368683001857998,0.2552592954990216,0.34263295553618156,0.08737366003715996,0.3216731898238747,0.32918171627849047,0.007508526454615749,0.0001911857752421416,52909368.0,42309343.0,0.06721362373493821,0.03281521319533941,-0.0343984105395988,0.11827914780323376,0.04596298307539143,-0.09818356241770604,region,0.22758623383374127,0.258676,"[{""feature"": ""region"", ""psi"": 0.22758623383374127}, {""feature"": ""income"", ""psi"": 0.11306641678489214}, {""feature"": ""age"", ""psi"": 0.06665107185681261}, {""feature"": ""occupation"", ""psi"": 0.06581286873748896}]",shap_age,6.51050607177511,"36 <= age < 46 AND 60,094.5 <= income < 91,742.5",0.7243785073535844,0.00044274600582390683,True,0.0017,0.0,0.0,0.0,1.0,Population Share: Stable,5.1735,0.004439,"Population share stable (low PSI) but the score no longer separates risk inside this segment -- concept drift, not exposure drift",4,AutoSlicer
423,357,0.0846,0.0714,61,70,0.00223920044391963,0.14420803782505912,0.19607843137254902,0.0518703935474899,0.05352107424551544,0.6322343990580563,0.5766550522648084,-0.05557934679324794,0.2644687981161127,0.1533101045296168,-0.11115869358649588,0.21171089575219637,0.2254355400696864,0.013724644317490042,5.696240430942361e-12,70191995.0,106481057.0,0.08916867691813411,0.08258692617184075,-0.006581750746293358,0.08383458543141979,0.033792091304606954,0.037994957186318845,region,0.13524650139653088,0.242656,"[{""feature"": ""region"", ""psi"": 0.13524650139653088}, {""feature"": ""occupation"", ""psi"": 0.11399305096910096}, {""feature"": ""income"", ""psi"": 0.06123656664154258}, {""feature"": ""age"", ""psi"": 0.02486222271850473}]",shap_income,11.10899921747922,"age >= 58 AND income >= 120,301.75",0.07849757556008932,2.7848286551273768e-11,True,0.0066,0.000328,0.0,6.6e-05,1.0,Population Share: Stable,4.8531,0.007937,"Gini drop 0.1112 (Dev 0.2645 -> Mon 0.1533) | Population share stable (low PSI) but the score no longer separates risk inside this segment -- concept drift, not exposure drift",5,AutoSlicer
496,749,0.0992,0.1498,266,250,0.02085545067368997,0.5362903225806451,0.33377837116154874,-0.2025119514190964,1.2372325386422744e-12,0.4958483164432822,0.4738036072144289,-0.02204470922885332,-0.0083033671134356,-0.05239278557114224,-0.04408941845770664,0.05707747629944426,0.0891142284569138,0.03203675215746954,0.9266580858624884,70441769.0,150731554.0,0.08948597830141222,0.11690770239033998,0.027421724088927762,0.012361075666822683,0.06499999999999995,-0.30072890051791884,age,0.033776636917587186,0.210717,"[{""feature"": ""age"", ""psi"": 0.033776636917587186}, {""feature"": ""income"", ""psi"": 0.01566766574970355}, {""feature"": ""region"", ""psi"": 0.0}, {""feature"": ""occupation"", ""psi"": 0.0}]",shap_age,40.45633596187279,region = South,6.048692411140009e-12,0.9266580858624884,True,0.0187,0.000386,0.000132,0.000132,1.0,Population Share: Stable,4.2143,0.006605,"Significant bad-rate shift (Dev 53.63% -> Mon 33.38%, p_adj=0.0000)",6,AutoSlicer
416,345,0.0832,0.069,57,69,0.002657399973864625,0.13701923076923078,0.2,0.06298076923076923,0.01996869231172016,0.578996237110883,0.6387838689350976,0.05978763182421465,0.157992474221766,0.2775677378701953,0.1195752636484293,0.18682500122171725,0.3079710144927536,0.12114601327103636,6.251561628605598e-07,70405362.0,104345183.0,0.08943972852577102,0.08093033791736509,-0.008509390608405928,0.08322652563709323,0.0350216868729097,0.09661014887141228,occupation,0.127949564152108,0.17852,"[{""feature"": ""occupation"", ""psi"": 0.127949564152108}, {""feature"": ""income"", ""psi"": 0.099016039559946}, {""feature"": ""region"", ""psi"": 0.06833221738210814}, {""feature"": ""age"", ""psi"": 0.037608281454210815}]",shap_income,11.596683643793355,"age >= 58 AND 91,742.5 <= income < 120,301.75",0.03254157265613656,1.6180512450508608e-06,True,0.0056,0.0,0.0,0.0,1.0,Population Share: Stable,3.5704,0.008251,"Significant bad-rate shift (Dev 13.70% -> Mon 20.00%, p_adj=0.0325) | Population share stable (low PSI) but the score no longer separates risk inside this segment -- concept drift, not exposure drift",7,AutoSlicer
724,670,0.1448,0.134,111,137,0.0008371477440076099,0.15331491712707182,0.2044776119402985,0.05116269481322669,0.01257476542885505,0.612950634157812,0.6033058983032278,-0.009644735854584252,0.22590126831562407,0.20661179660645557,-0.019289471709168504,0.20935290918977703,0.22764684131962043,0.0182939321298434,2.9709083561377728e-15,122922786.0,208247677.0,0.15615544465876685,0.16151732533849977,0.005361880679732922,0.05561815433350951,0.03784396388224622,0.04447913231391726,region,0.12708562822806624,0.17111,"[{""feature"": ""region"", ""psi"": 0.12708562822806624}, {""feature"": ""income"", ""psi"": 0.08083327193326142}, {""feature"": ""age"", ""psi"": 0.01455371717271037}, {""feature"": ""occupation"", ""psi"": 0.0}]",shap_income,13.066129875460694,age >= 58 AND occupation = Business,0.02247248386259528,4.357332255668733e-14,True,0.0221,0.000209,0.0,1.8e-05,1.0,Population Share: Stable,3.4222,0.002585,"Significant bad-rate shift (Dev 15.33% -> Mon 20.45%, p_adj=0.0225)",8,AutoSlicer
705,658,0.141,0.1316,105,132,0.0006485329919773429,0.14893617021276595,0.2006079027355623,0.05167173252279636,0.011897940895825299,0.5961269841269842,0.6142412720359487,0.01811428790896452,0.19225396825396834,0.2284825440718974,0.03622857581792904,0.21833333333333332,0.2581806659753428,0.03984733264200946,1.67040672424254e-13,119661421.0,208438701.0,0.15201235680384678,0.16166548394463617,0.009653127140789391,0.05676321136199517,0.03860182370820668,0.058176039643895394,occupation,0.12701706827052808,0.133121,"[{""feature"": ""occupation"", ""psi"": 0.12701706827052808}, {""feature"": ""income"", ""psi"": 0.08803289015612287}, {""feature"": ""age"", ""psi"": 0.012002887021329737}, {""feature"": ""region"", ""psi"": 0.0}]",shap_income,13.337623481736633,age >= 58 AND region = East,0.02247248386259528,9.187236983333971e-13,True,0.0213,0.0,0.0,0.0,1.0,Population Share: Stable,2.6624,0.004768,"Significant bad-rate shift (Dev 14.89% -> Mon 20.06%, p_adj=0.0225)",9,AutoSlicer
703,574,0.1406,0.1148,107,118,0.005230369383670342,0.15220483641536273,0.20557491289198607,0.05337007647662334,0.012768456740110956,0.5620491751866021,0.6421907523044901,0.08014157711788794,0.12409835037320427,0.28438150460898015,0.16028315423577588,0.14854481590666746,0.24501932798096931,0.09647451207430185,3.885856634188203e-14,117289231.0,178520438.0,0.14899883590736238,0.13846081780790995,-0.010538018099452429,0.055688893367439485,0.035950332323888175,0.05718432319115041,occupation,0.11256145214671229,0.127708,"[{""feature"": ""occupation"", ""psi"": 0.11256145214671229}, {""feature"": ""age"", ""psi"": 0.0818703621497747}, {""feature"": ""income"", ""psi"": 0.02832375917327096}, {""feature"": ""region"", ""psi"": 0.0}]",shap_income,12.179885557336068,"91,742.5 <= income < 120,301.75 AND region = East",0.02247248386259528,4.274442297607023e-13,True,0.016,0.0,0.0,0.0,1.0,Population Share: Stable,2.5542,0.018401,"Significant bad-rate shift (Dev 15.22% -> Mon 20.56%, p_adj=0.0225) | Population share stable (low PSI) but the score no longer separates risk inside this segment -- concept drift, not exposure drift",10,AutoSlicer
